iter	Passed	Remaining
0	1	108
1	1	96
2	2	88
3	3	81
4	4	79
5	4	77
6	5	75
7	6	73
8	7	72
9	7	70
10	8	69
11	9	68
12	10	67
13	10	66
14	11	65
15	12	65
16	13	66
17	14	66
18	15	65
19	16	64
20	16	63
21	17	62
22	18	61
23	19	60
24	19	59
25	20	58
26	21	57
27	22	56
28	22	55
29	23	54
30	24	53
31	25	53
32	25	52
33	26	51
34	27	50
35	28	50
36	29	50
37	30	49
38	31	48
39	31	47
40	32	47
41	32	45
42	33	44
43	34	43
44	35	43
45	35	42
46	36	41
47	37	40
48	38	39
49	38	38
50	39	38
51	40	37
52	41	36
53	41	35
54	42	34
55	43	34
56	44	33
57	45	32
58	45	31
59	46	31
60	47	30
61	48	29
62	48	28
63	49	27
64	50	27
65	51	26
66	51	25
67	52	24
68	53	23
69	54	23
70	54	22
71	55	21
72	56	20
73	57	20
74	58	19
75	59	18
76	60	17
77	60	17
78	61	16
79	62	15
80	63	14
81	64	14
82	64	13
83	65	12
84	66	11
85	66	10
86	67	10
87	68	9
88	69	8
89	69	7
90	70	6
91	71	6
92	72	5
93	73	4
94	74	3
95	75	3
96	76	2
97	77	1
98	78	0
99	78	0
